instance,n,error,algo,run_id,time_ms
sorting_near_sorted_3.json,1000,0.1,B,3,0.6
sorting_near_sorted_3.json,1000,0.1,B,4,0.57
sorting_near_sorted_3.json,1000,0.1,B,5,0.59
sorting_near_sorted_3.json,1000,0.1,B,6,0.58
sorting_near_sorted_3.json,1000,0.1,B,7,0.59
sorting_near_sorted_3.json,1000,0.1,B,8,0.59
sorting_near_sorted_3.json,1000,0.1,B,9,0.62
sorting_near_sorted_3.json,1000,0.1,B,10,0.6
sorting_near_sorted_3.json,1000,0.1,B,11,0.58
sorting_near_sorted_3.json,1000,0.1,B,12,0.61
sorting_near_sorted_3.json,1000,0.1,B,13,0.58
sorting_near_sorted_3.json,1000,0.1,B,14,0.56
sorting_near_sorted_3.json,1000,0.1,B,15,0.62
sorting_near_sorted_3.json,1000,0.1,B,16,0.59
sorting_near_sorted_3.json,1000,0.1,B,17,0.6
sorting_near_sorted_3.json,1000,0.1,B,18,0.59
sorting_near_sorted_3.json,1000,0.1,B,19,0.59
sorting_near_sorted_3.json,1000,0.1,B,20,0.55
sorting_near_sorted_3.json,1000,0.1,B,21,0.58
sorting_near_sorted_3.json,1000,0.1,B,22,0.61
sorting_near_sorted_3.json,1000,0.1,B,23,0.57
sorting_near_sorted_3.json,1000,0.1,B,24,0.58
sorting_near_sorted_3.json,1000,0.1,B,25,0.63
sorting_near_sorted_3.json,1000,0.1,B,26,0.62
sorting_near_sorted_3.json,1000,0.1,B,27,0.59
sorting_near_sorted_3.json,1000,0.1,B,28,0.55
sorting_near_sorted_3.json,1000,0.1,B,29,0.55
sorting_near_sorted_3.json,1000,0.1,B,30,0.62
sorting_near_sorted_3.json,1000,0.1,B,31,0.61
sorting_near_sorted_3.json,1000,0.1,B,32,0.59
sorting_near_sorted_3.json,1000,0.1,B,33,0.6
sorting_near_sorted_3.json,1000,0.1,B,34,0.58
sorting_near_sorted_3.json,1000,0.1,B,35,0.61
sorting_near_sorted_3.json,1000,0.1,B,36,0.63
sorting_near_sorted_3.json,1000,0.1,B,37,0.6
sorting_near_sorted_3.json,1000,0.1,B,38,0.68
sorting_near_sorted_3.json,1000,0.1,B,39,0.59
sorting_near_sorted_3.json,1000,0.1,B,40,0.61
sorting_near_sorted_3.json,1000,0.1,B,41,0.64
sorting_near_sorted_3.json,1000,0.1,B,42,0.6
sorting_near_sorted_3.json,1000,0.1,B,43,0.6
sorting_near_sorted_3.json,1000,0.1,B,44,0.6
sorting_near_sorted_3.json,1000,0.1,B,45,0.62
sorting_near_sorted_3.json,1000,0.1,B,46,0.58
sorting_near_sorted_3.json,1000,0.1,B,47,0.58
sorting_near_sorted_3.json,1000,0.1,B,48,0.6
