instance,instance_id,n,error,algo,time_ms,peak_mb,gap,trial
sorting_near_sorted_11.json,sorting_near_sorted_11,100000,0.05,C,245.51099992822856,0.7631492614746094,0.0,2
sorting_near_sorted_11.json,sorting_near_sorted_11,100000,0.05,C,244.46920002810657,0.7631492614746094,0.0,3
sorting_near_sorted_11.json,sorting_near_sorted_11,100000,0.05,C,247.1450000302866,0.7631492614746094,0.0,4
sorting_near_sorted_11.json,sorting_near_sorted_11,100000,0.05,C,243.23859997093678,0.7631492614746094,0.0,5
sorting_near_sorted_11.json,sorting_near_sorted_11,100000,0.05,C,246.12690007779747,0.7631492614746094,0.0,6
sorting_near_sorted_11.json,sorting_near_sorted_11,100000,0.05,C,249.48640004731715,0.7641754150390625,0.0,7
sorting_near_sorted_11.json,sorting_near_sorted_11,100000,0.05,C,245.86659995839,0.7631492614746094,0.0,8
sorting_near_sorted_11.json,sorting_near_sorted_11,100000,0.05,C,244.70520007889718,0.7631492614746094,0.0,9
sorting_near_sorted_11.json,sorting_near_sorted_11,100000,0.05,C,246.04989995714277,0.7631492614746094,0.0,10
sorting_near_sorted_12.json,sorting_near_sorted_12,100000,0.1,A,570.9030000725761,3.2019577026367188,0.0,1
sorting_near_sorted_12.json,sorting_near_sorted_12,100000,0.1,A,591.6108000092208,3.2019577026367188,0.0,2
sorting_near_sorted_12.json,sorting_near_sorted_12,100000,0.1,A,574.0841999650002,3.2019577026367188,0.0,3
sorting_near_sorted_12.json,sorting_near_sorted_12,100000,0.1,A,583.8028000434861,3.2019577026367188,0.0,4
sorting_near_sorted_12.json,sorting_near_sorted_12,100000,0.1,A,587.4393000267446,3.2019577026367188,0.0,5
sorting_near_sorted_12.json,sorting_near_sorted_12,100000,0.1,A,589.5429999800399,3.2019577026367188,0.0,6
sorting_near_sorted_12.json,sorting_near_sorted_12,100000,0.1,A,585.7731000287458,3.2019577026367188,0.0,7
sorting_near_sorted_12.json,sorting_near_sorted_12,100000,0.1,A,589.2748000333086,3.2019577026367188,0.0,8
